Marca,Modelo,Slogan,Tipo,Categoria,IVA Incluido,Version,Motor,Combustible,Transmision,Potencia,Torque,Traccion,Rendimiento,Autonomia,Puertas,Asientos,Airbags,Precio Lista,Bono Marca,Bono Financiamiento,Precio Final
Cupra,León,Despierta tus sentidos,liviano,"Hatchback, Híbrido",SÍ,Cupra Leon 1.5 TSI mHEV AT | Colores Cat B,1.5 TSI mHEV,Híbrido,DCT / DSG,150 HP,250 Nm,4x2,14.5 km/l,,,,,31490000,300000,2500000,28690000
Cupra,León,Despierta tus sentidos,liviano,Hatchback,SÍ,Cupra Leon VZ 2.0 TSI AT,2.0 TSI,Gasolina,DCT / DSG,300 HP,400 Nm,4x2,12.5 km/l,,,,,40490000,700000,1900000,37890000
Cupra,León,Despierta tus sentidos,liviano,Hatchback,SÍ,Cupra Leon VZ 2.0 TSI AT | Pintura Mate + Llantas Cobre,2.0 TSI,Gasolina,DCT / DSG,300 HP,400 Nm,4x2,12.5 km/l,,,,,43490000,700000,1900000,40890000
Cupra,Terramar,ser segundo no es opción,liviano,"SUV, Híbrido",SÍ,Terramar 1.5 TSI mHEV AT,1.5 TSI mHEV,Híbrido,DCT / DSG,150 HP,250 Nm,4x2,14.2 km/l,1078 km,,,6,39990000,800000,1800000,37390000
Cupra,Terramar,ser segundo no es opción,liviano,"SUV, Híbrido",SÍ,Terramar High 1.5 TSI mHEV AT,1.5 TSI mHEV,Híbrido,DCT / DSG,150 HP,250 Nm,4x2,14.2 km/l,1078 km,,,6,43990000,800000,1300000,41890000
Cupra,Terramar,ser segundo no es opción,liviano,"SUV, Híbrido",SÍ,Terramar High 1.5 TSI mHEV AT | Pintura Mate,1.5 TSI mHEV,Híbrido,DCT / DSG,150 HP,250 Nm,4x2,14.2 km/l,1078 km,,,6,45490000,800000,1300000,43390000
Cupra,Tavascan,La tribu se enciende,liviano,"SUV, Eléctrico",SÍ,Tavascan Adrenaline 82 kWh,Motor Eléctrico,Eléctrico,Automática,286 HP,545 Nm,4x2,16.8 kWh/100km,569 km,,,7,50990000,1000000,2000000,47990000
Cupra,Tavascan,La tribu se enciende,liviano,"SUV, Eléctrico",SÍ,Tavascan Extreme 82 kWh,Motor Eléctrico,Eléctrico,Automática,286 HP,545 Nm,4x2,17.2 kWh/100km,569 km,,,7,53990000,1000000,2000000,50990000
Cupra,Tavascan,La tribu se enciende,liviano,"SUV, Eléctrico",SÍ,Tavascan Extreme 82 kWh | Pintura Mate,Motor Eléctrico,Eléctrico,Automática,286 HP,545 Nm,4x2,17.2 kWh/100km,569 km,,,7,55490000,1000000,2000000,52490000
Honda,Civic,El legado continúa,liviano,Sedán,SÍ,TOURING CVT 1.5T,1.5T,Gasolina,CVT,176 HP,,4x2,,,,,,31390000,0,1400000,29990000
Honda,New WR-V,Aventuras sin límites,liviano,SUV,SÍ,EX 1.5 Aut.,1.5 i-VTEC,Gasolina,CVT,121 HP,,4x2,,,,,,23990000,1000000,1000000,21990000
Honda,New WR-V,Aventuras sin límites,liviano,SUV,SÍ,TOURING 1.5 Aut.,1.5 i-VTEC,Gasolina,CVT,121 HP,,4x2,,,,,,24990000,1000000,1000000,22990000
Honda,New HR-V,Sofisticación en cada detalle,liviano,SUV,SÍ,TOURING 1.5 Aut. 4X2,1.5L i-VTEC,Gasolina,CVT,119 HP,,4x2,,,,,,26990000,0,1000000,25990000
